Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
Chrysler,C300,2018,Saudi,Black,Full,5.7,Gas,Automatic,103000,Riyadh,114000.0,False
Nissan,Patrol,2016,Saudi,White,Full,4.8,Gas,Automatic,5448,Riyadh,125000.0,True
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,72418,Riyadh,27500.0,False
Hyundai,Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,114154,Riyadh,43000.0,False
Hyundai,Elantra,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,41912,Riyadh,59500.0,False
Honda,Accord,2018,Saudi,Navy,Full,1.5,Gas,Automatic,39000,Riyadh,72000.0,False
Toyota,Land Cruiser,2011,Saudi,White,Semi Full,4.5,Gas,Automatic,183000,Riyadh,92000.0,False
Chevrolet,Impala,2019,Saudi,Black,Standard,3.6,Gas,Automatic,70000,Riyadh,80000.0,False
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,131000,Jeddah,32000.0,False
Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,107000,Dammam,50000.0,False
Nissan,Patrol,2014,Saudi,White,Full,5.6,Gas,Automatic,106000,Dammam,135000.0,False
Chevrolet,Tahoe,2018,Other,Grey,Semi Full,5.3,Gas,Automatic,176140,Riyadh,153000.0,False
Mercedes,CLA,2020,Other,White,Standard,2.0,Gas,Automatic,20000,Riyadh,235000.0,False
Mercedes,E,2017,Saudi,Grey,Full,2.0,Gas,Automatic,20600,Dammam,210000.0,False
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,7702,Dammam,45000.0,False
MINI,Copper,2016,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,110000,Dammam,83000.0,False
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,58000,Al-Medina,24500.0,False
GMC,Yukon,2018,Saudi,White,Full,5.3,Gas,Automatic,37000,Riyadh,146500.0,True
Nissan,Patrol,2016,Saudi,White,Standard,4.8,Gas,Automatic,93000,Jeddah,83000.0,False
Toyota,Prado,2021,Saudi,White,Semi Full,4.0,Gas,Automatic,3000,Dammam,174000.0,False
Hyundai,Elantra,2018,Other,White,Standard,1.6,Diesel,Automatic,83000,Riyadh,50000.0,False
Honda,Civic,2017,Saudi,Black,Standard,1.5,Gas,Automatic,200000,Jeddah,38000.0,False
Toyota,Fortuner,2021,Saudi,White,Semi Full,2.4,Diesel,Automatic,29000,Qassim,145000.0,False
Lexus,RX,2019,Saudi,Bronze,Full,3.5,Gas,Automatic,129000,Jeddah,178000.0,False
Land Rover,Range Rover,2014,Saudi,Black,Full,3.0,Gas,Automatic,80000,Makkah,230000.0,False
Toyota,Camry,2019,Saudi,Red,Full,2.5,Gas,Automatic,8000,Makkah,82500.0,True
GMC,Yukon,2017,Saudi,Silver,Standard,5.3,Gas,Automatic,137317,Dammam,130000.0,False
Nissan,Bus Urvan,2020,Saudi,White,Standard,3.5,Gas,Manual,27000,Riyadh,68000.0,False
Toyota,Aurion,2015,Saudi,White,Semi Full,2.6,Gas,Automatic,300,Jazan,50000.0,False
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,112963,Riyadh,27500.0,False
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,108650,Riyadh,43000.0,False
Chevrolet,Malibu,2013,Saudi,Black,Semi Full,3.0,Gas,Automatic,122455,Riyadh,36000.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,93762,Riyadh,26800.0,False
Toyota,Rav4,2020,Gulf Arabic,White,Full,2.5,Gas,Automatic,15000,Dammam,111000.0,False
Mazda,CX9,2019,Saudi,Other,Full,2.5,Gas,Automatic,89000,Riyadh,99000.0,False
Toyota,Camry,2020,Saudi,Silver,Standard,2.5,Hybrid,Automatic,46000,Riyadh,75000.0,False
Lexus,ES,2015,Saudi,White,Full,3.5,Gas,Automatic,85000,Riyadh,80000.0,False
Kia,Cadenza,2017,Saudi,Other,Standard,3.5,Gas,Automatic,115000,Riyadh,55000.0,False
Hyundai,Tucson,2016,Saudi,White,Semi Full,2.0,Gas,Automatic,157000,Riyadh,50000.0,False
Hyundai,Tucson,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,24000,Riyadh,68000.0,False
Genesis,Platinum,2015,Saudi,Other,Semi Full,3.5,Gas,Automatic,181000,Riyadh,70000.0,False
Genesis,G80,2019,Saudi,White,Semi Full,3.8,Gas,Automatic,84000,Riyadh,120000.0,False
Toyota,Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,201000,Riyadh,108000.0,False
Hyundai,Accent,2020,Saudi,Other,Standard,1.4,Gas,Automatic,2000,Riyadh,42000.0,False
Hyundai,Sonata,2019,Saudi,Grey,Semi Full,2.4,Gas,Automatic,78000,Riyadh,62000.0,False
Genesis,G80,2018,Saudi,Other,Semi Full,3.8,Gas,Automatic,75000,Riyadh,110000.0,False
Genesis,G80,2018,Saudi,Other,Semi Full,3.8,Gas,Automatic,127000,Riyadh,93000.0,False
Lexus,LX,2015,Saudi,White,Full,5.7,Gas,Automatic,247000,Riyadh,165000.0,False
Lexus,GX,2015,Saudi,White,Full,4.6,Gas,Automatic,146000,Riyadh,126000.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,87537,Riyadh,26800.0,False
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,99104,Riyadh,26800.0,False
Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,106007,Riyadh,26800.0,False
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,88564,Riyadh,26800.0,False
Hyundai,Azera,2016,Saudi,Grey,Semi Full,3.5,Gas,Automatic,166000,Riyadh,47000.0,False
Honda,Accord,2015,Saudi,Golden,Semi Full,2.4,Gas,Automatic,196000,Riyadh,59000.0,False
Genesis,G80,2018,Saudi,Silver,Semi Full,3.8,Gas,Automatic,70000,Riyadh,110000.0,False
Toyota,Prado,2013,Saudi,Other,Full,3.8,Gas,Automatic,108000,Riyadh,87000.0,False
Geely,EC7,2014,Saudi,Golden,Full,1.8,Gas,Manual,161300,Riyadh,12000.0,False
MG,ZS,2019,Saudi,Black,Semi Full,1.5,Gas,Automatic,23000,Riyadh,47000.0,False
Lexus,ES,2019,Saudi,Other,Full,3.5,Gas,Automatic,26000,Jeddah,207000.0,False
Hyundai,Kona,2019,Saudi,Blue,Standard,2.0,Gas,Automatic,19000,Riyadh,59000.0,False
Jeep,Grand Cherokee,2014,Saudi,Black,Full,5.7,Gas,Automatic,120000,Riyadh,85000.0,False
GMC,Yukon,2016,Gulf Arabic,White,Semi Full,5.3,Gas,Automatic,63000,Riyadh,140000.0,False
Kia,Optima,2018,Saudi,Brown,Standard,2.0,Gas,Automatic,11000,Riyadh,59000.0,True
Honda,Accord,2015,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,221000,Riyadh,48000.0,False
Dodge,Charger,2018,Saudi,Other,Full,5.7,Gas,Automatic,85000,Aseer,130000.0,False
Mercedes,S,2018,Saudi,Grey,Full,3.0,Gas,Automatic,73000,Riyadh,345000.0,False
